ID	NS	OS	Phylum	Class	Genus	Dissimilarity
OTU_2185	0.031171574	0.04409441	 Actinobacteria	 Actinobacteria	 Kocuria	0.041880783
OTU_609	0	0.053999843	 Actinobacteria	 Actinobacteria	 Rhodococcus	0.044418465
OTU_594	0.04409441	0.031171574	 Planctomycetes	Others	 SM1A02	0.041880783
OTU_3795	0	0.053999843	 Proteobacteria	 Gammaproteobacteria	 Pseudomonas	0.044418465
OTU_772	0.04409441	0.031171574	 Firmicutes	Others	 Ruminococcus_torques_group	0.041880783
OTU_2566	0.031171574	0.04409441	 Proteobacteria	 Gammaproteobacteria	 Pseudomonas	0.041880783
OTU_590	0	0.053999843	 Bacteroidetes	Others	 Phaeodactylibacter	0.044418465
OTU_1384	0.04409441	0.031171574	 Actinobacteria	 Actinobacteria	 Brachybacterium	0.041880783
OTU_2462	0	0.053999843	 Proteobacteria	 Betaproteobacteria	Unassigned	0.044418465
OTU_1029	0.04409441	0.031171574	 Firmicutes	 Bacilli	 Planomicrobium	0.041880783
OTU_3242	0.031171574	0.04409441	 Proteobacteria	 Alphaproteobacteria	 Unassigned	0.041880783
OTU_825	0	0.053999843	Others	Others	 Unassigned	0.044418465
OTU_430	0	0.053999843	 Planctomycetes	Others	 SM1A02	0.044418465
OTU_1622	0	0.053999843	 Proteobacteria	Others	 Bdellovibrio	0.044418465
OTU_709	0	0.053999843	Others	Others	 uncultured	0.044418465
OTU_1404	0	0.053999843	Others	Others	 Prosthecobacter	0.044418465
OTU_686	0	0.053999843	Others	Others	 Unassigned	0.044418465
OTU_1192	0	0.053999843	 Proteobacteria	 Alphaproteobacteria	 Candidatus_Alysiosphaera	0.044418465
OTU_3145	0	0.053999843	 Proteobacteria	 Betaproteobacteria	Unassigned	0.044418465
OTU_963	0.04409441	0	Others	Others	 uncultured	0.036262929
OTU_770	0	0.04409441	 Proteobacteria	Others	 Haliangium	0.036262929
OTU_986	0	0.04409441	 Proteobacteria	Others	Unassigned	0.036262929
