ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	All	Asia	North_America	South_America
ASV_135	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora_rectivirgula	0.091325	0.06104059	0.04160869	0.15143688
ASV_142	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora_rectivirgula	0.087801	0.05302364	0.03821762	0.14908150
ASV_202	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.15394	0.1517559	0.1760888	0.1317119
ASV_180	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_putida	0.11129	0.14295644	0.08290364	0.13139969
ASV_195	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobiaceae_uncultured	Unassigned	0.145561	0.1681462	0.1633707	0.1206197
ASV_97	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unassigned	0.157486	0.1268931	0.1579799	0.1658588
ASV_189	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.106602	0.13775018	0.08160475	0.12336280
ASV_184	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	0.113595	0.39066198	0.04842136	0.10043308
ASV_198	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aureimonas	Unassigned	0.121079	0.1111888	0.1422747	0.1020699
ASV_222	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned	0.044026	0.02079557	0.02066140	0.07488940
ASV_227	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Unassigned	0.044347	0.01880873	0.02534903	0.07137136
ASV_277	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.081434	0.18327240	0.06185627	0.07207733
ASV_396	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Frigoribacterium	Unassigned	0.079747	0.02178047	0.05544390	0.12166265
